,이용횟수
41086006.0,815
11110729.0,8
41067020.0,107
41110062.0,15
11110022.0,61
41026047.0,144
11410003.0,331
11111158.0,10
41428004.0,520
41019004.0,92
11110706.0,93
41110060.0,43
11110241.0,34
41045008.0,177
41032005.0,6
41007012.0,151
41223003.0,288
41110058.0,177
41036022.0,424
11110049.0,353
41031049.0,364
41215002.0,172
41079005.0,23
41485041.0,345
41419011.0,75
41205003.0,120
41016019.0,16
11110337.0,78
11110430.0,218
41002027.0,173
41220001.0,264
41036112.0,202
11110171.0,93
11110044.0,161
41045004.0,242
41425006.0,64
41006245.0,415
41425004.0,50
41110042.0,156
11110265.0,105
41007002.0,508
11110051.0,251
41021021.0,453
11110212.0,156
41420005.0,172
41061024.0,22
11110536.0,23
41221001.0,446
41056003.0,23
41050004.0,509
41061018.0,170
41285012.0,146
28032054.0,1
41001020.0,14
41283002.0,115
41006190.0,4
41003250.0,1
11110068.0,32
41006063.0,64
41221003.0,143
11110752.0,48
41021007.0,171
41021105.0,120
41425010.0,42
28002003.0,5
41359003.0,707
41425021.0,223
41006310.0,3
41006152.0,12
11110251.0,157
41319023.0,2
41319021.0,1
41274002.0,128
11110250.0,20
11110034.0,64
41222006.0,72
41007124.0,32
11110220.0,186
11110035.0,15
41428002.0,87
41079009.0,9
41002019.0,298
41021016.0,567
11110537.0,102
41204001.0,608
41003276.0,23
41008125.0,20
41304002.0,5
41006160.0,6
41392001.0,204
41332001.0,667
11110754.0,76
41041009.0,6
41037109.0,61
41026045.0,82
11110516.0,6
11110207.0,13
41002908.0,221
11110383.0,50
11110953.0,53
41044004.0,238
41031136.0,95
11110289.0,16
41022121.0,138
41358003.0,256
41036137.0,84
41420006.0,176
41332004.0,112
41016018.0,25
41004003.0,99
41013009.0,147
11110304.0,20
41245001.0,345
41021015.0,167
41012102.0,607
41021036.0,280
41349004.0,3
41005113.0,12
11110258.0,63
41006249.0,10
41323003.0,331
41030004.0,8
11110060.0,54
41017005.0,8
41236004.0,5
11110021.0,183
11110073.0,14
11110514.0,7
41064103.0,18
11110604.0,28
11110651.0,62
41050001.0,571
11110506.0,60
41020002.0,1009
11110113.0,8
41043001.0,42
41019003.0,38
41110047.0,60
41006326.0,362
41110210.0,136
41057026.0,2
41424003.0,159
41006308.0,55
28216001.0,10
11110563.0,46
41425023.0,249
11110050.0,68
11110339.0,151
11110351.0,80
41016029.0,31
41003902.0,41
41007019.0,229
41026036.0,2
41485020.0,25
41030002.0,45
41008171.0,323
41110213.0,327
41420001.0,864
41068201.0,78
41008140.0,10
41110065.0,7
41382003.0,90
41006280.0,81
41002265.0,1
41422001.0,141
41031115.0,472
41040114.0,13
41222005.0,133
41420002.0,350
11110571.0,3
41072002.0,30
41006243.0,133
41222003.0,606
11410011.0,30
11110735.0,264
11110913.0,199
41485015.0,16
41040001.0,4
41363001.0,254
11110356.0,257
41245004.0,41
11410004.0,84
41245003.0,42
41419004.0,139
41026042.0,75
41428001.0,54
41021024.0,375
11110979.0,16
11110551.0,181
41021017.0,145
41285013.0,9
11110410.0,77
41006104.0,12
41074057.0,563
41091001.0,1
41263002.0,9
41045006.0,21
41284001.0,135
11110039.0,339
41003494.0,48
41002006.0,104
41045019.0,130
41329003.0,24
41218001.0,122
11110174.0,16
41005109.0,2
41007003.0,132
41110051.0,58
41201002.0,254
41249001.0,130
41022102.0,45
11110959.0,23
41332003.0,247
41424011.0,86
11110270.0,34
11110873.0,20
41011116.0,22
41252001.0,97
41008161.0,8
41011901.0,13
41008124.0,24
11110019.0,139
41281002.0,13
41224001.0,192
41008141.0,21
41110033.0,138
11110257.0,133
41022112.0,6
41110052.0,201
11110343.0,26
41021107.0,82
11110349.0,29
41031055.0,84
11110692.0,21
11110998.0,35
41067023.0,46
41217002.0,229
11110224.0,187
41110057.0,71
11110993.0,45
41003004.0,25
41007016.0,394
11110058.0,21
41285008.0,28
41062003.0,4
41483012.0,110
41002907.0,337
41283001.0,157
41383002.0,178
41110004.0,213
11110379.0,1
41205008.0,147
41382002.0,112
41110214.0,224
41249002.0,395
11110416.0,17
41425009.0,53
11110622.0,5
41205001.0,259
11110015.0,212
11110016.0,278
41312016.0,4
41110079.0,2
11110522.0,11
11110269.0,105
41045015.0,190
41425026.0,91
41358001.0,563
41065103.0,13
41002420.0,3
11110617.0,17
41021014.0,203
41026028.0,117
41031138.0,119
41026024.0,51
41216002.0,73
41110048.0,38
41285002.0,178
41050900.0,80
41225006.0,94
11110956.0,3
41253001.0,218
41004026.0,83
41003034.0,100
41215003.0,107
11110376.0,42
41002906.0,9
11110360.0,100
11110750.0,35
41485034.0,2
41040005.0,3
41068199.0,1
41045017.0,164
41007131.0,13
41002089.0,5
41086001.0,237
41110211.0,17
41110007.0,50
11110066.0,7
41021022.0,146
11110290.0,56
41022107.0,23
41002293.0,277
41110077.0,3
28002004.0,13
11110529.0,29
41007118.0,59
41008159.0,143
41088013.0,12
11110920.0,98
11110502.0,108
11110005.0,8
41072003.0,16
11110062.0,52
41045002.0,35
41007007.0,200
41013010.0,289
41110003.0,93
28027001.0,14
41110218.0,96
41076013.0,17
41110024.0,2
41110016.0,22
11110976.0,111
41420008.0,50
11110267.0,37
11111168.0,12
11110133.0,18
41007015.0,17
41110040.0,33
41485039.0,53
11110334.0,24
41019010.0,5
41335002.0,14
41067021.0,106
41420010.0,89
11110582.0,15
41005021.0,11
41485006.0,50
41485019.0,35
41110049.0,152
28034001.0,17
41021033.0,106
41252003.0,44
41021008.0,182
11110420.0,37
11410002.0,49
11110802.0,159
41110092.0,97
41013007.0,41
41002800.0,184
41008144.0,8
41067139.0,31
11110504.0,85
28011003.0,15
11110560.0,25
41005127.0,25
11110309.0,48
11110194.0,16
11110679.0,9
41021001.0,200
41223007.0,25
41466001.0,1
11110983.0,39
41225005.0,167
28304004.0,3
11110975.0,112
11110702.0,29
41006262.0,158
41007010.0,11
41285010.0,75
41003015.0,145
11110037.0,44
41004031.0,63
41110013.0,23
41019001.0,78
28231006.0,5
41016044.0,32
28204001.0,7
41421001.0,104
28002001.0,19
41023102.0,3
41343003.0,180
41003030.0,161
41423007.0,25
41004033.0,65
11110613.0,8
41016025.0,35
41006359.0,4
41026040.0,112
41002623.0,35
41019002.0,42
41018029.0,45
41084001.0,7
41091015.0,3
11110881.0,9
28022003.0,11
11110069.0,47
41110008.0,89
41204006.0,231
