,이용횟수
4116788.0,2712
4170653.0,393
4130535.0,15
4113319.0,270
1717.0,2536
4117254.0,1095
4116982.0,2909
4116813.0,452
4130406.0,1542
4100042.0,2698
4160380.0,883
4109608.0,956
4108195.0,185
4107846.0,1463
4130083.0,597
4170123.0,309
9013252.0,3
2554.0,25
7101696.0,1124
4170970.0,392
4103726.0,111
1729.0,700
9176938.0,86
4114846.0,137
4160337.0,376
202.0,412
4175951.0,1
4108097.0,1789
4120457.0,381
4116917.0,149
4116836.0,3830
4116726.0,349
4116800.0,692
4100577.0,1473
4113449.0,246
4107948.0,1522
4107932.0,1014
4199315.0,278
4117285.0,730
4122176.0,555
4107668.0,1878
4160316.0,174
4170107.0,2656
4116952.0,376
4114339.0,423
4170106.0,2118
4108053.0,2525
4135518.0,208
4100047.0,489
9170487.0,368
4119331.0,1019
4114356.0,145
4108015.0,445
4130134.0,664
2806839.0,1
1806.0,256
4113322.0,1386
4108200.0,621
4112024.0,2036
4108112.0,2288
4176773.0,24
4108121.0,741
4100051.0,6051
4198444.0,151
4100116.0,2983
4116879.0,2017
4195715.0,175
4170921.0,515
4108022.0,465
9012927.0,31
73681.0,11
4151631.0,861
4108018.0,1205
4102864.0,133
4107957.0,13
4108028.0,902
4102825.0,1846
4197465.0,1213
72076.0,8
4116660.0,658
4199835.0,1425
72098.0,129
4116717.0,565
4199435.0,2597
4120435.0,280
4195716.0,1922
4108418.0,682
4116928.0,631
4117396.0,428
4160308.0,2154
4116895.0,4624
4130156.0,888
4116687.0,307
4117315.0,610
4160249.0,852
4111889.0,462
4170664.0,652
4116845.0,477
4112041.0,25
4319.0,59
4122308.0,525
72130.0,3
2721.0,19
4199454.0,207
4100022.0,3981
4116859.0,967
4198877.0,1869
4117287.0,1717
4116984.0,400
4116943.0,1864
4170523.0,361
4103640.0,240
4130421.0,334
4100498.0,624
4198952.0,469
4107931.0,1170
4119154.0,20
1866.0,1039
4135070.0,793
4130121.0,2087
4111868.0,279
4195705.0,635
4116994.0,952
4108092.0,2171
4102912.0,237
4121824.0,8
4117032.0,2043
4130348.0,18
4100458.0,376
4100449.0,533
4117031.0,861
4130138.0,71
4119369.0,12
4110131.0,2488
4117024.0,128
4116700.0,466
4116825.0,1298
4108171.0,572
4160272.0,2695
4112026.0,529
4130185.0,2
4170415.0,476
4117347.0,46
4116759.0,2794
4130515.0,47
4117387.0,45
4113290.0,2929
4110713.0,38
4106950.0,73
4116787.0,1573
4170342.0,502
4151559.0,220
4122252.0,1
4111639.0,113
4111635.0,93
4116881.0,746
4115146.0,23
4100650.0,2135
4117070.0,1214
4117306.0,356
2815.0,210
4108038.0,1235
4117265.0,683
433.0,1006
4107951.0,795
4117030.0,2066
4170497.0,45
4116948.0,1073
1013.0,124
4116835.0,1050
4195496.0,1523
4116921.0,530
4108047.0,357
4151640.0,1237
1759.0,366
4199637.0,932
4100155.0,791
4117052.0,1033
4117010.0,742
4199496.0,657
4108192.0,1099
4313.0,690
4119780.0,14
4170691.0,25
4170264.0,386
4160328.0,196
4116908.0,193
4135045.0,219
4116806.0,1485
4130488.0,97
4108052.0,2802
4108175.0,1099
4108012.0,690
4197690.0,872
4170105.0,635
4115065.0,17
4199601.0,158
4130432.0,369
4130512.0,237
4116959.0,236
4199618.0,108
4111632.0,115
4179347.0,402
4116799.0,474
4108070.0,2609
9114238.0,143
4150147.0,309
4111714.0,622
4195607.0,224
4117423.0,133
4116970.0,552
4100103.0,743
4112549.0,46
4170120.0,131
4176953.0,644
4114205.0,972
4116980.0,575
4108231.0,1655
4130486.0,202
4108212.0,656
4101265.0,2
1822.0,33
4150342.0,313
4195699.0,337
4108099.0,485
4110308.0,821
4111744.0,3071
4100016.0,1919
4130405.0,1169
2826.0,73
4176319.0,17
4111645.0,240
4123752.0,105
4116891.0,576
4318.0,997
4113480.0,1
4150166.0,532
4176398.0,244
4100058.0,768
9008192.0,2
4110.0,62
4100073.0,764
4114462.0,570
4117022.0,411
4100563.0,571
4176770.0,230
4115063.0,13
4108046.0,1584
4116679.0,244
4160291.0,900
418.0,73
4108026.0,851
4108095.0,441
4118152.0,110
4117307.0,74
4114362.0,758
4102828.0,1033
4160270.0,1223
4108069.0,4529
4122352.0,48
4103499.0,1
4195700.0,613
4122174.0,2943
4108050.0,922
9014554.0,2
8952.0,13
4170995.0,890
4150273.0,154
4117196.0,59
4170418.0,19
4117321.0,2146
4170861.0,612
4170570.0,1800
1868.0,3127
1710.0,943
4170353.0,459
150.0,387
4179126.0,370
4100118.0,950
2519.0,93
4150348.0,227
1707.0,1119
2748.0,905
4150345.0,339
4108087.0,747
4116911.0,152
4100077.0,808
4100020.0,1342
7103056.0,35
4108059.0,773
4116951.0,549
4116754.0,2526
4197554.0,1584
4116861.0,74
4116876.0,1877
4117061.0,139
4117007.0,390
4117260.0,192
4100032.0,70
4108103.0,1180
4150160.0,611
4197470.0,829
4117233.0,1033
4116947.0,820
4176980.0,15
4108133.0,502
4116956.0,1424
4150194.0,139
4111742.0,928
4115604.0,963
4121008.0,2327
4100159.0,912
9010682.0,5
4122790.0,117
4130032.0,1519
4170289.0,116
4170400.0,372
4116872.0,1148
4105380.0,621
4160307.0,685
4160346.0,415
4102894.0,1020
4112033.0,677
4108013.0,348
3115.0,13
4100651.0,1485
4111690.0,70
4116675.0,261
4116964.0,955
4116977.0,547
4116666.0,290
4116505.0,388
4115064.0,721
4115111.0,59
4100149.0,48
72345.0,86
4150142.0,1786
4316.0,3257
4307.0,1075
4116354.0,180
4108014.0,708
4114919.0,194
4117337.0,18
4110267.0,258
4195706.0,549
4197592.0,1918
4113330.0,605
4100037.0,664
4108031.0,1808
4119318.0,362
4116878.0,760
4195009.0,119
4108077.0,865
4100136.0,725
4100128.0,317
4118279.0,621
4102921.0,397
4117182.0,1088
4116791.0,522
4117247.0,379
4160281.0,1156
4199692.0,603
4178350.0,14
4100003.0,4
1864.0,421
4117256.0,817
8502115.0,4
4122291.0,8
2821.0,243
4130091.0,71
4117071.0,599
4170522.0,409
4170243.0,2566
4100132.0,220
4176842.0,11
4111735.0,1306
4179319.0,1322
1858.0,2561
4111848.0,2167
4108007.0,631
4197662.0,289
4117072.0,1853
4100105.0,627
4116756.0,744
1030.0,333
4108172.0,1385
71196.0,12
9005517.0,27
4110266.0,243
4179321.0,867
4100069.0,402
74931.0,97
